Molecule,Formula,Ei,Alpha,Expt,axx,ayy,azz,pi_bond
Butane,C4H10,10.6,8.08,35,9.31,7.68,7.24,0
Pentane,C5H12,10.4,9.95,60,11.72,9.39,8.74,0
Hexane,C6H14,10.2,11.85,80,14.32,10.99,10.23,0
Heptane,C7H16,9.9,13.76,105,16.91,12.66,11.72,0
Octane,C8H18,10.0,15.68,115,19.6,14.26,13.19,0
Nonane,C9H20,10.0,16.75,145,21.31,14.93,14.01,0
Ethylene,C2H4,10.5,4.18,20,5.43,3.77,3.35,1
Cyclopropane,C3H6,9.9,5.51,10,5.75,5.75,5.04,0
Cyclohexane,C6H12,9.9,10.79,80,11.29,11.29,9.78,0
Benzene,C6H6,9.3,10.4,150,12.27,12.27,6.67,3
Naphthalene,C10H8,8.2,18.08,300,25.71,18.7,9.83,5
2-3-butanedione,C4H6O2,9.3,8.32,77,9.76,9.07,6.12,2
IsoPentane,C5H12,10.3,9.87,60,10.88,9.85,8.86,0
Propane,C3H8,11.1,6.21,10,6.84,6.06,5.73,0
Tetrachloroethylene,C2Cl4,9.3,12.28,57,15.1,13.93,7.81,1
1-2-trans-Dichloroethylene,C2H2Cl2,9.6,8.27,15,12.53,6.72,5.56,1
Carbondisulfide,CS2,10.1,8.12,75,13.9,5.23,5.23,2
