Molecule,Formula,Ei,Alpha,axx,ayy,azz,Dipole,pi_bond,Expt
Bromoform,CHBr3,10.48,11.66,13.18,13.18,8.61,0.91,0,130.0
Cyclopentanone,C5H8O,9.26,9.16,10.33,9.59,7.57,3.31,1,230.0
Ethyl Acetate(conformer1),C4H8O2,10.01,8.9,10.77,8.86,7.07,2.13,1,160.0
1-Butanol,C4H10O,9.99,8.78,10.36,8.31,7.66,1.59,0,102.0
Chloroform,CHCl3,11.37,8.39,9.35,9.35,6.48,1.13,0,50.0
Butanal,C4H8O,9.84,8.22,9.56,8.45,6.66,2.77,1,142.0
2-MethylPropionitrile,C4H7N,11.3,8.14,9.75,7.82,6.83,4.24,2,274.0
Dimethylcarbonate,C3H6O3,10.3,7.36,7.71,7.71,6.66,0.46,1,102.0
Ethyl Formate,C3H6O2,10.61,7.05,8.7,6.91,5.53,2.24,1,103.0
Methyl Acetate,C3H6O2,10.25,6.99,8.39,7.06,5.52,1.96,1,122.0
2-Propanol,C3H8O,10.17,6.94,7.39,7.04,6.37,1.64,0,87.0
1-Propanol,C3H8O,10.18,6.9,7.94,6.62,6.15,1.69,0,70.0
Acetone,C3H6O,9.7,6.4,7.08,6.98,5.12,3.15,1,173.0
Propanal,C3H6O,9.96,6.36,7.03,6.92,5.13,2.84,1,118.0
Propionitrile,C3H5N,11.84,6.29,8.09,5.62,5.17,4.21,2,245.0
1-Fluoropropane,C3H7F,11.3,6.21,6.94,6.03,5.65,2.07,0,35.0
1-2-Ethanediol,C2H6O2,10.16,5.73,6.58,5.57,5.05,2.48,0,70.0
Bromomethane,CH3Br,10.54,5.36,6.79,4.64,4.64,1.99,0,40.0
Methyl Formate,C2H4O2,10.84,5.31,7.21,4.8,3.93,1.97,1,65.0
Ethanol,C2H6O,10.43,5.08,5.62,4.98,4.63,1.72,0,43.0
Acetaldehyde,C2H4O,10.23,4.6,5.57,4.66,3.58,2.95,1,88.0
Acetonitrile,C2H3N,12.2,4.44,6.08,3.62,3.62,4.1,2,180.0
Chloromethane,CH3Cl,11.22,4.35,5.43,3.8,3.8,2.06,0,25.0
Methanol,CH4O,10.85,3.21,3.54,3.08,3.0,1.67,0,20.0
Dichloromethane,CH2Cl2,11.32,6.35,8.26,5.73,5.07,2.01,0,32.0
cis-1-2-Dichloroethylene,C2H2Cl2,9.66,8.03,10.64,7.91,5.57,2.3,1,66.0
Trichloroethylene,C2HCl3,9.46,10.2,13.64,10.28,6.7,1.1,1,50.0
1-Chloropropane,C3H7Cl,10.81,8.21,10.34,7.37,6.92,2.54,0,98.0
2-Chloropropane,C3H7Cl,10.79,8.21,9.47,8.1,7.06,2.57,0,113.0
