Molecule,Formula,Ei,Alpha,Dipole,pi_bond,Expt
Bromoform,CHBr3,10.48,11.31,0.91,0,130.0
Cyclopentanone,C5H8O,9.26,8.97,3.31,1,230.0
Ethyl Acetate(conformer1),C4H8O2,10.01,8.68,2.13,1,160.0
1-Butanol,C4H10O,9.99,8.54,1.59,0,102.0
Chloroform,CHCl3,11.37,8.19,1.13,0,50.0
Butanal,C4H8O,9.84,8.05,2.77,1,142.0
2-MethylPropionitrile,C4H7N,11.3,8.0,4.24,2,274.0
Dimethylcarbonate,C3H6O3,10.3,7.44,0.46,1,102.0
Ethyl Formate,C3H6O2,10.61,6.88,2.24,1,103.0
Methyl Acetate,C3H6O2,10.25,6.82,1.96,1,122.0
2-Propanol,C3H8O,10.17,6.77,1.64,0,87.0
1-Propanol,C3H8O,10.18,6.71,1.69,0,70.0
Acetone,C3H6O,9.7,6.24,3.15,1,173.0
Propanal,C3H6O,9.96,6.22,2.84,1,118.0
Propionitrile,C3H5N,11.84,6.19,4.21,2,245.0
1-Fluoropropane,C3H7F,11.3,6.09,2.07,0,35.0
1-2-Ethanediol,C2H6O2,10.16,5.57,2.48,0,70.0
Bromomethane,CH3Br,10.54,5.26,1.99,0,40.0
Methyl Formate,C2H4O2,10.84,5.01,1.97,1,65.0
Ethanol,C2H6O,10.43,4.95,1.72,0,43.0
Acetaldehyde,C2H4O,10.23,4.49,2.95,1,88.0
Acetonitrile,C2H3N,12.2,4.39,4.1,2,180.0
Chloromethane,CH3Cl,11.22,4.28,2.06,0,25.0
Methanol,CH4O,10.85,3.13,1.67,0,20.0
Dimethoxymethane,C3H8O2,9.7,7.39,0.25,0,78.0
2-Butanone,C4H8O,9.52,7.99,2.99,1,194.0
Propyl Formate,C4H8O2,10.52,8.7,2.36,1,126.0
1-Fluorobutane,C4H9F,10.25,7.9,2.15,0,70.0
1-Fluorohexane,C6H13F,9.85,11.6,2.21,0,80.0
1-Fluorononane,C9H19F,9.64,17.22,2.22,0,145.0
1-Chlorohexane,C6H13Cl,10.29,13.66,2.53,0,175.0
Dichloromethane,CH2Cl2,11.32,6.353,2.01,0,32.0
cis-1-2-Dichloroethylene,C2H2Cl2,9.66,8.03,2.3,1,66.0
Trichloroethylene,C2HCl3,9.46,10.2,1.1,1,50.0
1-Chloropropane,C3H7Cl,10.81,8.211,2.54,0,98.0
2-Chloropropane,C3H7Cl,10.79,8.211,2.57,0,113.0
