Molecule,Formula,Expt,Dipole,Alpha,pi_bond,Ei,axx,ayy,azz
"1,2-trans-dicloroetileno ",C2H2Cl2,14.0,0.0,8.27,1.0,9.6,12.5,6.7,5.6
"1,4-Ciclohexadieno ",C6H8,116.0,0.0,10.5,2.0,8.8,13.4,10.45,7.66
"2,3-Butanediona ",C4H6O2,77.0,0.0,8.33,2.0,9.3,9.8,9.1,6.1
"2,3-Dimethilbutano",C6H14,93.0,0.0,11.64,0.0,10.0,12.6,12.08,10.24
Benzeno ,C6H6,132.0,0.0,10.43,3.0,9.24,12.3,12.3,6.7
Butano ,C4H10,37.0,0.0,8.07,0.0,10.53,9.3,7.7,7.2
Carbondisulfide,CS2,75.0,0.0,8.1,2.0,10.1,13.9,5.2,5.2
Cicloheptano ,C7H14,104.0,0.0,12.56,0.0,9.97,13.38,13.09,11.2
Ciclopentano ,C5H10,47.0,0.0,8.9,0.0,10.3,9.34,9.34,8.01
Ciclopropano ,C3H6,16.0,0.0,5.53,0.0,9.9,5.8,5.8,5.0
Cyclooctatetraene ,C8H8O,225.0,0.0,14.41,4.0,8.43,16.43,16.43,10.37
Etileno ,C2H4,20.0,0.0,4.17,1.0,10.5,5.4,3.8,3.3
Heptano ,C7H16,118.0,0.0,13.77,0.0,9.9,16.9,12.7,11.7
Hexano ,C6H14,93.0,0.0,11.83,0.0,10.1,14.3,11.0,10.2
Isopentano ,C5H12,65.0,0.0,9.9,0.0,10.3,10.9,9.9,8.9
Naftaleno ,C10H8,300.0,0.0,18.07,5.0,8.2,25.7,18.7,9.8
Nonano ,C9H20,178.0,0.0,16.73,0.0,9.7,21.3,14.9,14.0
Octano ,C8H18,147.0,0.0,15.7,0.0,10.0,19.6,14.3,13.2
Pentano ,C5H12,67.0,0.0,9.93,0.0,10.3,11.7,9.4,8.7
Propano ,C3H8,16.0,0.0,6.2,0.0,11.1,6.8,6.1,5.7
Tetrabrometo de carbono,CBr4,125.0,0.0,14.77,0.0,10.31,14.77,14.77,14.77
Tetracloreto de carbono,CCl4,55.0,0.0,10.39,0.0,11.47,10.39,10.39,10.39
Tetracloroetileno ,C2Cl4,57.0,0.0,12.27,1.0,9.3,15.1,13.9,7.8
