Molecule,Formula,Ei,Alpha,axx,ayy,azz,pi_bond,Dipole,Expt
Butane,C4H10,10.6,8.08,9.31,7.68,7.24,0,0.0,35.0
Pentane,C5H12,10.4,9.95,11.72,9.39,8.74,0,0.0,60.0
Hexane,C6H14,10.2,11.85,14.32,10.99,10.23,0,0.0,80.0
Heptane,C7H16,9.9,13.76,16.91,12.66,11.72,0,0.0,105.0
Octane,C8H18,10.0,15.68,19.6,14.26,13.19,0,0.0,115.0
Nonane,C9H20,10.0,16.75,21.31,14.93,14.01,0,0.0,145.0
Ethylene,C2H4,10.5,4.18,5.43,3.77,3.35,1,0.0,20.0
Cyclopropane,C3H6,9.9,5.51,5.75,5.75,5.04,0,0.0,10.0
Cyclohexane,C6H12,9.9,10.79,11.29,11.29,9.78,0,0.0,80.0
Benzene,C6H6,9.3,10.4,12.27,12.27,6.67,3,0.0,150.0
Naphthalene,C10H8,8.2,18.08,25.71,18.7,9.83,5,0.0,300.0
2-3-butanedione,C4H6O2,9.3,8.32,9.76,9.07,6.12,2,0.0,77.0
IsoPentane,C5H12,10.3,9.87,10.88,9.85,8.86,0,0.0,60.0
Propane,C3H8,11.1,6.21,6.84,6.06,5.73,0,0.0,10.0
Tetrachloroethylene,C2Cl4,9.3,12.28,15.1,13.93,7.81,1,0.0,57.0
1-2-trans-Dichloroethylene,C2H2Cl2,9.6,8.27,12.53,6.72,5.56,1,0.0,15.0
Carbondisulfide,CS2,10.1,8.12,13.9,5.23,5.23,2,0.0,75.0
Bromoform,CHBr3,10.48,11.66,13.18,13.18,8.61,0,0.91,130.0
Cyclopentanone,C5H8O,9.26,9.16,10.33,9.59,7.57,1,3.31,230.0
Ethyl Acetate(conformer1),C4H8O2,10.01,8.9,10.77,8.86,7.07,1,2.13,160.0
1-Butanol,C4H10O,9.99,8.78,10.36,8.31,7.66,0,1.59,102.0
Chloroform,CHCl3,11.37,8.39,9.35,9.35,6.48,0,1.13,50.0
Butanal,C4H8O,9.84,8.22,9.56,8.45,6.66,1,2.77,142.0
2-MethylPropionitrile,C4H7N,11.3,8.14,9.75,7.82,6.83,2,4.24,274.0
Dimethylcarbonate,C3H6O3,10.3,7.36,7.71,7.71,6.66,1,0.46,102.0
Ethyl Formate,C3H6O2,10.61,7.05,8.7,6.91,5.53,1,2.24,103.0
Methyl Acetate,C3H6O2,10.25,6.99,8.39,7.06,5.52,1,1.96,122.0
2-Propanol,C3H8O,10.17,6.94,7.39,7.04,6.37,0,1.64,87.0
1-Propanol,C3H8O,10.18,6.9,7.94,6.62,6.15,0,1.69,70.0
Acetone,C3H6O,9.7,6.4,7.08,6.98,5.12,1,3.15,173.0
Propanal,C3H6O,9.96,6.36,7.03,6.92,5.13,1,2.84,118.0
Propionitrile,C3H5N,11.84,6.29,8.09,5.62,5.17,2,4.21,245.0
1-Fluoropropane,C3H7F,11.3,6.21,6.94,6.03,5.65,0,2.07,35.0
1-2-Ethanediol,C2H6O2,10.16,5.73,6.58,5.57,5.05,0,2.48,70.0
Bromomethane,CH3Br,10.54,5.36,6.79,4.64,4.64,0,1.99,40.0
Methyl Formate,C2H4O2,10.84,5.31,7.21,4.8,3.93,1,1.97,65.0
Ethanol,C2H6O,10.43,5.08,5.62,4.98,4.63,0,1.72,43.0
Acetaldehyde,C2H4O,10.23,4.6,5.57,4.66,3.58,1,2.95,88.0
Acetonitrile,C2H3N,12.2,4.44,6.08,3.62,3.62,2,4.1,180.0
Chloromethane,CH3Cl,11.22,4.35,5.43,3.8,3.8,0,2.06,25.0
Methanol,CH4O,10.85,3.21,3.54,3.08,3.0,0,1.67,20.0
Dichloromethane,CH2Cl2,11.32,6.35,8.26,5.73,5.07,0,2.01,32.0
cis-1-2-Dichloroethylene,C2H2Cl2,9.66,8.03,10.64,7.91,5.57,1,2.3,66.0
Trichloroethylene,C2HCl3,9.46,10.2,13.64,10.28,6.7,1,1.1,50.0
1-Chloropropane,C3H7Cl,10.81,8.21,10.34,7.37,6.92,0,2.54,98.0
2-Chloropropane,C3H7Cl,10.79,8.21,9.47,8.1,7.06,0,2.57,113.0
