Molecule,Formula,Ei,Alpha,Expt,pi_bond
Butane,C4H10,10.6,8.1,35,0
Pentane,C5H12,10.4,10.0,60,0
Hexane,C6H14,10.2,11.8,80,0
Heptane,C7H16,9.9,13.7,105,0
Octane,C8H18,10.0,15.5,115,0
Nonane,C9H20,10.0,17.4,145,0
Dodecane,C12H26,9.9,22.9,220,0
Hexadecane,C16H34,9.9,30.3,310,0
Ethylene,C2H4,10.5,4.2,20,1
Cyclopropane,C3H6,9.9,5.7,10,0
Cyclohexane,C6H12,9.9,11.8,80,0
Benzene,C6H6,9.3,10.4,150,3
Naphthalene,C10H8,8.2,16.6,300,5
2-3-butanedione,C4H6O2,9.3,8.2,77,2
IsoPentane,C5H12,10.3,10.0,60,0
TetraDecane,C14H30,9.9,26.6,260,0
Propane,C3H8,11.1,6.3,10,0
Tetrachloroethylene,C2Cl4,9.3,12.3,57,1
1-2-trans-Dichloroethylene,C2H2Cl2,9.6,8.15,15,1
Carbondisulfide,CS2,10.1,8.7,75,2
