Molecule,Formula,Expt,Dipole,Alpha,pi_bond,Ei,axx,ayy,azz,AlphaB,Molecule Type,N of Carbon,DYS,SG,PauloPred
"1,2-trans-dicloroetileno ",C2H2Cl2,14.0,0.0,8.2,1.0,9.6,12.5,6.7,5.6,8.266666666666666,0.0,0.0,0.0,0.0,0.0
"1,4-Ciclohexadieno ",C6H8,116.0,0.0,11.0,2.0,8.8,13.395,10.449,7.656,10.5,0.0,0.0,0.0,0.0,0.0
"2,3-Butanediona ",C4H6O2,77.0,0.0,8.2,2.0,9.3,9.8,9.1,6.1,8.333333333333334,0.0,0.0,0.0,0.0,0.0
"2,3-Dimethilbutano",C6H14,93.0,0.0,11.8,0.0,10.0,12.597,12.075,10.24,11.637333333333332,0.0,0.0,0.0,0.0,0.0
Benzeno ,C6H6,132.0,0.0,10.0,3.0,9.24,12.3,12.3,6.7,10.433333333333334,0.0,0.0,0.0,0.0,0.0
Butano ,C4H10,37.0,0.0,8.14,0.0,10.53,9.3,7.7,7.2,8.066666666666666,0.0,0.0,0.0,0.0,0.0
Carbondisulfide,CS2,75.0,0.0,8.7,2.0,10.1,13.9,5.2,5.2,8.1,0.0,0.0,0.0,0.0,0.0
Cicloheptano ,C7H14,104.0,0.0,12.8,0.0,9.97,13.38,13.088,11.203,12.557,0.0,0.0,0.0,0.0,0.0
Ciclooctano ,C8H16,128.0,0.0,14.5,0.0,9.75,,,,,0.0,0.0,0.0,0.0,0.0
Ciclopentano ,C5H10,47.0,0.0,9.1,0.0,10.3,9.342,9.336,8.008,8.895333333333333,0.0,0.0,0.0,0.0,0.0
Ciclopropano ,C3H6,16.0,0.0,5.7,0.0,9.9,5.8,5.8,5.0,5.533333333333334,0.0,0.0,0.0,0.0,0.0
Cyclooctatetraene ,C8H8O,225.0,0.0,13.76,4.0,8.43,16.432,16.432,10.369,14.411,0.0,0.0,0.0,0.0,0.0
Dodecano ,C12H26,225.0,0.0,22.8,0.0,9.8,,,,,0.0,0.0,0.0,0.0,0.0
Etileno ,C2H4,20.0,0.0,4.2,1.0,10.5,5.4,3.8,3.3,4.166666666666667,0.0,0.0,0.0,0.0,0.0
Heptano ,C7H16,118.0,0.0,13.7,0.0,9.9,16.9,12.7,11.7,13.766666666666666,0.0,0.0,0.0,0.0,0.0
Hexadecano ,C16H34,295.0,0.0,30.3,0.0,9.6,,,,,0.0,0.0,0.0,0.0,0.0
Hexano ,C6H14,93.0,0.0,11.8,0.0,10.1,14.3,11.0,10.2,11.833333333333334,0.0,0.0,0.0,0.0,0.0
Isopentano ,C5H12,65.0,0.0,10.0,0.0,10.3,10.9,9.9,8.9,9.9,0.0,0.0,0.0,0.0,0.0
Naftaleno ,C10H8,300.0,0.0,16.6,5.0,8.2,25.7,18.7,9.8,18.066666666666666,0.0,0.0,0.0,0.0,0.0
Nonano ,C9H20,178.0,0.0,17.4,0.0,9.7,21.3,14.9,14.0,16.733333333333334,0.0,0.0,0.0,0.0,0.0
Octano ,C8H18,147.0,0.0,15.5,0.0,10.0,19.6,14.3,13.2,15.700000000000003,0.0,0.0,0.0,0.0,0.0
Pentano ,C5H12,67.0,0.0,10.0,0.0,10.3,11.7,9.4,8.7,9.933333333333334,0.0,0.0,0.0,0.0,0.0
Propano ,C3H8,16.0,0.0,6.3,0.0,11.1,6.8,6.1,5.7,6.199999999999999,0.0,0.0,0.0,0.0,0.0
Tetrabrometo de carbono,CBr4,125.0,0.0,15.3,0.0,10.31,14.771,14.771,14.771,14.771,0.0,0.0,0.0,0.0,0.0
Tetracloreto de carbono,CCl4,55.0,0.0,10.5,0.0,11.47,10.391,10.391,10.391,10.391,0.0,0.0,0.0,0.0,0.0
Tetracloroetileno ,C2Cl4,57.0,0.0,12.0,1.0,9.3,15.1,13.9,7.8,12.266666666666666,0.0,0.0,0.0,0.0,0.0
Tetradecano ,C14H30,265.0,0.0,26.6,0.0,9.9,,,,,0.0,0.0,0.0,0.0,0.0
