Feature Importance,Models,Propriedade Molecular
0,0.35929700453371605,Regressão Polinomial,Alpha
1,0.2530275798573683,Regressão Polinomial,Dipole
2,0.38767541560891566,Regressão Polinomial,Pi Bond
3,0.33720599166933946,SVR,Alpha
4,0.31132074512574964,SVR,Dipole
5,0.3514732632049109,SVR,Pi Bond
6,0.36684273232026404,XGBoost,Alpha
7,0.5263159092422927,XGBoost,Dipole
8,0.10684135843744337,XGBoost,Pi Bond
9,0.34814380780283044,RNA,Alpha
10,0.4128914894384716,RNA,Dipole
11,0.23896470275869802,RNA,Pi Bond
12,0.33921228522603425,Modelo Ensemble,Alpha
13,0.434655766403453,Modelo Ensemble,Dipole
14,0.22613194837051276,Modelo Ensemble,Pi Bond
